Bakteri Target,Test,Report Group,Antimicrobial Agent,Disk Content,Satuan (DC),Zone Diameter IC - S,Zone Diameter IC - SDD - BB,Zone Diameter IC - SDD - BA,Zone Diameter IC - I - BB,Zone Diameter IC - I - BA,Zone Diameter IC - R,MIC IC (µg/mL) - S,MIC IC (µg/mL) - SSD - BB,MIC IC (µg/mL) - SSD - BA,MIC IC (µg/mL) - I - BB,MIC IC (µg/mL) - I - BA,MIC IC (µg/mL) - R,Comments
Enterobacteriaceae,PENICILLINS,A,Ampicillin,10,µg,17,,,14,16,13,8,,,16,16,32,"(4) Results of ampicillin testing
 can be used to predict results for
 amoxicillin.
 See comment (2)."
Enterobacteriaceae,PENICILLINS,B,Piperacillin,100,µg,21,,,18,20,17,16,,,32,64,128,
Enterobacteriaceae,PENICILLINS,O,Mecillinam,10,µg,15,,,12,14,11,8,,,16,16,32,"(5) For testing and reporting of E.
 coli urinary tract isolates only."
Enterobacteriaceae,PENICILLINS,O,Ticarcillin,75,µg,20,,,15,19,14,16,,,32,64,128,
Enterobacteriaceae,β-LACTAM/β-LACTAMASE INHIBITOR COMBINATIONS,B,Amoxicilin-clabulanate,20/10,µg,18,,,14,17,13,8/4,,,16/8,16/8,32/16,
Enterobacteriaceae,β-LACTAM/β-LACTAMASE INHIBITOR COMBINATIONS,B,Ampicilin-subactam,10/10,µg,15,,,12,14,11,8/4,,,16/8,16/8,32/16,
Enterobacteriaceae,β-LACTAM/β-LACTAMASE INHIBITOR COMBINATIONS,B,Piperacilin-tazobactam,100/10,µg,21,,,18,20,17,16/4,,,32/4,64/4,128/4,
Enterobacteriaceae,β-LACTAM/β-LACTAMASE INHIBITOR COMBINATIONS,B,Ticarcilin-clavulanate,75/10,µg,20,,,15,19,14,16/2,,,32/2,64/4,128/4,
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",A,Cefazolin,30,µg,23,,,20,22,19,2,,,4,4,8,"(9) Interpretive criteria are based
on a dosage regimen of 2 g
every 8 h.
See comment (7).
For UTI interpretive criteria,
see below under CEPHEMS
(ORAL)."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",C,Ceftaroline,30,µg,23,,,20,22,19,0.5,,,1,1,2,"(10) Interpretive criteria are
based on a dosage regimen of
600 mg every 12 h."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",U,"Cephalothin
(surrogate test for
uncomplicated UTI)",30,µg,18,,,15,17,14,8,,,16,16,32,"(11) Cephalothin interpretive
criteria can be used only to
predict susceptibility to the oral
agents, cefadroxil, cefpodoxime,
cephalexin, and loracarbef. Older
data that suggest that cephalothin
results could predict susceptibility
to some other cephalosporins
may still be correct, but there are
no recent data to confirm this.

(12) To predict results for oral
cephalosporins when used for
therapy of uncomplicated UTIs,
testing cefazolin is preferred to
testing cephalothin."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",B,Cefepime,30,µg,25,19,24,-,-,18,2,4,8,-,-,16,"(13) The interpretive criterion
for susceptible is based on a
dosage regimen of 1 g every 12
h. The interpretive criterion for
SDD is based on dosing
regimens that result in higher
cefepime exposure, either
higher doses or more frequent
doses or both, up to approved
maximum dosing regimens.
See Appendix E for more
information about interpretive
criteria and dosing regimens.
Also see the definition of SDD
in the Instructions for Use of
Tables section."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",B,Cefotaxime,30,µg,26,,,23,25,22,1,,,2,2,4,"(14) Interpretive criteria are
based on a dosage regimen of 1 g
every 24 h for ceftriaxone and 1 g
every 8 h for cefotaxime.
See comment (7)."
